sample_id,block_id,sensor_id,task_id,A_theta,A_route,local_score,bs1_score,bs2_score,best_offload_score,theta_true_gap,route_true_gap,offload_active_mask,theta_sign_match,route_sign_match,actual_theta_decision,actual_route_decision,theta_decision_match,route_decision_match,theta_true_gap_bucket,A_theta_bucket
29,9,3,0,0.185012549161911,-0.03973649442195892,-0.09791136533021927,-0.3602997660636902,-0.3621581196784973,-0.3602997660636902,-0.2623884081840515,0.001858353614807129,1,0,False,1,0,0,True,"(-0.268, -0.211]","(0.0677, 0.275]"
29,10,3,1,-0.010915407910943031,-0.02500956505537033,-0.08256279677152634,-0.17299208045005798,-0.18395332992076874,-0.17299208045005798,-0.09042928367853165,0.010961249470710754,1,1,False,1,1,0,False,"(-0.128, 0.0263]","(-0.0766, 0.0677]"
29,11,3,2,0.10145099461078644,0.16125845909118652,-0.44057878851890564,-0.5270401239395142,-0.5304578542709351,-0.5270401239395142,-0.08646133542060852,0.0034177303314208984,1,0,True,1,0,0,True,"(-0.128, 0.0263]","(0.0677, 0.275]"
29,12,4,0,0.18944531679153442,0.07451003789901733,-0.40147700905799866,-0.6317030191421509,-0.633561372756958,-0.6317030191421509,-0.23022601008415222,0.001858353614807129,1,0,True,1,1,0,False,"(-0.268, -0.211]","(0.0677, 0.275]"
29,13,4,1,-0.09292961657047272,0.13868597149848938,-0.006269379984587431,-0.14092698693275452,-0.15188822150230408,-0.14092698693275452,-0.1346576064825058,0.01096123456954956,1,1,True,1,0,0,True,"(-0.171, -0.128]","(-0.291, -0.0766]"
29,14,4,2,-0.11654272675514221,-0.08601588010787964,-0.045956630259752274,-0.12367544323205948,-0.12709319591522217,-0.12367544323205948,-0.0777188092470169,0.003417752683162689,1,1,False,1,0,0,True,"(-0.128, 0.0263]","(-0.291, -0.0766]"
29,15,5,0,0.03573794662952423,0.01946967840194702,-0.5081685185432434,-0.7771680951118469,-0.779026448726654,-0.7771680951118469,-0.2689995765686035,0.001858353614807129,0,0,,0,1,1,,"(-0.6, -0.268]","(-0.0766, 0.0677]"
29,16,5,1,-0.035608649253845215,-0.14235684275627136,-1.0627561807632446,-1.1775277853012085,-1.1884890794754028,-1.1775277853012085,-0.11477160453796387,0.010961294174194336,0,1,,0,1,1,,"(-0.128, 0.0263]","(-0.0766, 0.0677]"
29,17,5,2,-0.06542176008224487,0.05735287070274353,-0.9618164896965027,-1.0463666915893555,-1.0497844219207764,-1.0463666915893555,-0.08455020189285278,0.0034177303314208984,0,1,,0,0,1,,"(-0.128, 0.0263]","(-0.0766, 0.0677]"
29,18,6,0,0.07905583083629608,0.1576528400182724,-1.0339536666870117,-1.2662286758422852,-1.2680869102478027,-1.2662286758422852,-0.23227500915527344,0.0018582344055175781,0,0,,0,0,1,,"(-0.268, -0.211]","(0.0677, 0.275]"
29,19,6,1,-0.17784129083156586,0.06784312427043915,-0.822089672088623,-0.9137420654296875,-0.9247032999992371,-0.9137420654296875,-0.09165239334106445,0.01096123456954956,0,1,,0,1,1,,"(-0.128, 0.0263]","(-0.291, -0.0766]"
