telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
81,2,0,1,0.04540482484382648,78848,0,0.0,233235.84375,1199950.375,6229323.5,17763062.0,233235.84375,1199950.375,6229323.5,17763062.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
82,2,0,2,0.04393613161077893,78848,0,0.0,229906.625,1177848.0,6147005.5,17831476.0,229906.625,1177848.0,6147005.5,17831476.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
83,2,0,3,0.046816616186970236,78848,0,0.0,228031.296875,1156177.625,6083913.0,17855208.0,228031.296875,1156177.625,6083913.0,17855208.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
84,2,1,4,0.05075230787264321,78848,0,0.0,226006.734375,1130529.875,5927123.5,17870942.0,226006.734375,1130529.875,5927123.5,17870942.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
85,2,1,5,0.048754429078704635,78848,0,0.0,226548.65625,1130277.75,5953745.0,17958402.0,226548.65625,1130277.75,5953745.0,17958402.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
86,2,1,6,0.05086989237925853,78848,0,0.0,225140.4375,1111561.875,5959309.5,18029102.0,225140.4375,1111561.875,5959309.5,18029102.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
87,2,1,7,0.053170029935817674,78848,0,0.0,223720.234375,1096925.0,5935024.5,18080210.0,223720.234375,1096925.0,5935024.5,18080210.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
88,2,2,8,0.05700910767317503,78848,0,0.0,222710.421875,1094129.625,5906122.0,18138886.0,222710.421875,1094129.625,5906122.0,18138886.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
89,2,2,9,0.05682523807293421,78848,0,0.0,223048.15625,1098941.25,5938468.5,18225764.0,223048.15625,1098941.25,5938468.5,18225764.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
90,2,2,10,0.05302062483111466,78848,0,0.0,223952.703125,1104954.625,5969331.5,18295640.0,223952.703125,1104954.625,5969331.5,18295640.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
91,2,2,11,0.05345832800280908,78848,0,0.0,223563.5625,1110741.5,5979399.0,18371180.0,223563.5625,1110741.5,5979399.0,18371180.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
92,2,3,12,0.05124603524095358,78848,0,0.0,224622.390625,1115218.125,6011202.0,18456112.0,224622.390625,1115218.125,6011202.0,18456112.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
93,2,3,13,0.050023371167064026,78848,0,0.0,225082.75,1120926.875,6024439.5,18477614.0,225082.75,1120926.875,6024439.5,18477614.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
94,2,3,14,0.04754587978724728,78848,0,0.0,225818.984375,1123806.3124999942,6054258.5,18490614.0,225818.984375,1123806.3124999942,6054258.5,18490614.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
95,2,3,15,0.053397129951445035,78848,0,0.0,224554.734375,1119131.625,6068769.5,17408982.0,224554.734375,1119131.625,6068769.5,17408982.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
96,2,4,16,0.05266596601333501,78848,0,0.0,224826.109375,1120949.3374999901,6075275.0,17451078.0,224826.109375,1120949.3374999901,6075275.0,17451078.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
97,2,4,17,0.050934856906919596,78848,0,0.0,225629.328125,1126784.2874999894,6094954.0,17528034.0,225629.328125,1126784.2874999894,6094954.0,17528034.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
98,2,4,18,0.0489413692181443,78848,0,0.0,226081.34375,1131371.125,6124653.5,17600316.0,226081.34375,1131371.125,6124653.5,17600316.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
99,2,4,19,0.04703589585714695,78848,0,0.0,226688.390625,1136797.25,6149427.5,17669380.0,226688.390625,1136797.25,6149427.5,17669380.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
