telemetry_step,train_epoch,update_epoch,minibatch_id,final_critic_backbone_delta_norm,backbone_active_count,backbone_clipped_active_count,backbone_clipped_active_fraction,backbone_active_preconditioner_mean,backbone_active_preconditioner_p95,backbone_active_preconditioner_p99,backbone_active_preconditioner_max,backbone_active_preconditioner_mean_after_clip,backbone_active_preconditioner_p95_after_clip,backbone_active_preconditioner_p99_after_clip,backbone_active_preconditioner_max_after_clip,backbone_soft_geometry_scale_factor_mean,backbone_soft_geometry_scale_factor_p50,backbone_soft_geometry_scale_factor_p95,backbone_soft_geometry_scale_factor_min,backbone_soft_geometry_trigger_active_fraction,backbone_soft_geometry_overflow_stat_mean,backbone_soft_geometry_overflow_stat_p95
97,1,3,27,0.0311432188478849,76800,0,0.0,282796.25,615227.9375,8030911.0,49904876.0,282796.25,615227.9375,8030911.0,49904876.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
98,1,4,28,0.04445294130790053,76800,0,0.0,282247.875,608957.5,8032571.0,49976044.0,282247.875,608957.5,8032571.0,49976044.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
99,1,4,29,0.042822452743530845,76800,0,0.0,283477.71875,612073.875,8067880.0,50031776.0,283477.71875,612073.875,8067880.0,50031776.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
100,1,4,30,0.041047038184229,76800,0,0.0,284321.09375,614313.75,8106741.5,50161976.0,284321.09375,614313.75,8106741.5,50161976.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
101,1,4,31,0.03755094652175354,76800,0,0.0,285359.84375,617427.9375,8139682.5,50254560.0,285359.84375,617427.9375,8139682.5,50254560.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
102,1,4,32,0.03615179542671497,76800,0,0.0,286408.46875,619814.125,8140597.0,50382832.0,286408.46875,619814.125,8140597.0,50382832.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
103,1,4,33,0.048714019994704295,76800,0,0.0,286093.28125,622275.875,8156609.0,50406088.0,286093.28125,622275.875,8156609.0,50406088.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
104,1,4,34,0.05439876126832205,76800,0,0.0,284334.71875,619218.375,8031176.5,50488332.0,284334.71875,619218.375,8031176.5,50488332.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
105,1,5,35,0.05487670122896724,76800,0,0.0,283132.78125,621790.125,8041867.5,50352100.0,283132.78125,621790.125,8041867.5,50352100.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
106,1,5,36,0.058362187261850614,76800,0,0.0,283191.0,624797.5625,8064742.0,50458180.0,283191.0,624797.5625,8064742.0,50458180.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
