sample_id,timestep_id,state_type,block_id,sensor_id,task_id,candidate_action,value_pred,value_pred_normalized,value_pred_normalized_equivalent,return,value_target,advantage,one_step_reward,one_step_td_target,reward_best_vs_value_best_match,reward_value_flip_type,workload_mean,virtual_queue_mean,local_queue_mean,access_queue_mean,bs_queue_mean,raw_state_distance_proxy,critic_input_distance_proxy
2,2,real_rollout,6,2,0,local,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,0,reward:local->value:bs2,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,7,2,1,bs1,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,1,match,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,8,2,2,bs1,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,1,match,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,9,3,0,bs1,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,1,match,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,10,3,1,local,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,1,match,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,11,3,2,bs1,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,1,match,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,12,4,0,local,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,1,match,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,13,4,1,local,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,1,match,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,14,4,2,local,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,0,reward:local->value:bs2,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
2,2,real_rollout,15,5,0,bs2,17.638221740722656,5.664407730102539,5.471949100494385,-40.28579330444336,-1.9151403903961182,-57.92401885986328,-1.6820449829101562,-19.606630325317383,0,reward:local->value:bs2,0.536648690700531,0.04586402699351311,0.039182063192129135,0.1208249107003212,0.18938946723937988,,
